Class E,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lihtuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,"EU
(weight.
avg.)"
2016 Jan,112.1,162.3,132.0,121.8,132.9,133.4,135.3,168.1,117.0,118.1,131.8,141.0,156.7,129.6,131.7,129.4,132.8,228.0,114.4,127.6,122.1,118.7,119.4,150.2,135.9,144.8,181.5,127.0
2016 Feb,110.5,160.5,130.7,121.8,133.2,133.8,135.4,164.2,118.7,120.6,132.6,134.3,156.9,138.6,133.6,130.6,134.7,228.0,111.9,129.7,126.3,123.4,113.1,139.9,135.6,144.5,179.4,127.4
2016 Mar,110.3,134.3,125.2,120.1,131.9,132.3,132.6,158.4,117.4,122.0,129.8,134.8,158.6,137.3,133.2,128.9,129.3,222.2,113.7,129.2,130.9,121.8,113.3,137.1,129.6,142.7,181.8,127.0
2016 Apr,110.2,132.6,124.7,123.7,131.8,136.4,135.9,151.4,118.1,122.9,130.3,132.9,160.6,139.3,133.9,128.5,129.6,218.0,115.3,128.7,127.5,122.4,117.8,136.6,128.9,144.6,185.0,127.3
2016 May,118.8,134.3,130.4,128.8,143.9,134.7,140.1,152.1,128.8,128.1,139.6,138.0,161.6,147.4,140.7,140.1,140.2,218.0,125.3,139.9,136.9,138.9,135.7,146.2,133.9,143.6,184.8,136.7
2016 Jun,134.8,165.8,147.2,140.8,157.8,141.5,146.4,155.3,149.0,141.8,152.6,149.9,165.6,160.3,153.4,156.0,157.3,218.0,140.9,156.6,150.3,164.5,161.1,160.5,152.9,146.3,185.7,151.4
2016 Jul,145.8,178.5,160.0,149.6,168.6,148.1,151.6,177.7,161.5,154.4,163.2,161.0,182.2,176.1,160.7,167.2,169.9,218.0,149.1,167.0,161.2,178.1,171.5,169.2,166.3,144.9,183.0,161.8
2016 Aug,146.8,183.0,161.6,147.1,169.8,152.4,152.9,184.9,163.5,157.3,165.2,192.2,192.1,172.3,159.4,168.2,173.0,218.0,147.7,168.5,163.3,179.0,172.0,170.0,169.8,146.5,183.3,163.6
2016 Sep,148.4,182.2,163.0,150.9,172.8,154.6,159.4,184.9,162.7,160.9,167.5,188.2,192.1,175.1,162.0,170.9,175.0,218.0,150.9,171.2,164.8,179.0,172.8,171.9,171.5,146.2,182.2,165.7
2016 Oct,140.4,184.1,162.3,147.5,161.2,153.0,159.2,182.3,154.0,155.4,160.6,187.6,190.9,169.3,159.3,160.3,164.9,218.0,141.8,163.3,155.7,168.4,167.4,166.7,167.7,146.0,179.9,158.0
2016 Nov,133.6,174.5,155.8,142.5,157.5,150.1,155.3,178.6,142.2,142.4,155.5,174.7,184.2,158.4,153.2,156.0,158.4,218.0,136.2,158.4,149.1,157.0,153.5,162.4,160.2,147.9,177.1,151.2
2016 Dec,138.2,181.7,156.6,146.2,159.7,149.7,155.1,178.8,140.4,142.0,159.9,180.0,187.6,158.8,155.6,159.0,161.8,218.0,137.0,160.5,151.5,157.0,145.0,164.1,162.4,148.7,179.6,152.6
2017 Jan,134.6,192.5,153.0,141.8,157.4,148.4,153.9,177.4,140.0,142.6,155.8,176.2,164.6,153.7,149.6,155.9,159.8,218.0,138.4,156.1,150.0,157.2,148.6,160.3,161.7,149.4,179.2,151.3
2017 Feb,133.8,188.0,152.0,141.5,156.6,147.2,157.7,177.0,143.9,147.9,157.3,176.0,167.0,145.6,150.2,155.1,160.4,218.0,139.3,155.2,149.0,162.8,150.8,158.7,159.9,150.1,177.3,151.9
2017 Mar,137.4,175.8,153.2,144.0,161.9,148.7,164.0,175.4,152.4,151.5,159.2,177.8,176.7,151.6,155.5,160.1,162.3,218.0,143.6,160.6,153.5,172.0,156.3,161.7,161.5,150.5,175.6,156.2
2017 Apr,153.7,183.0,164.0,154.0,176.8,153.7,164.4,176.4,164.1,163.4,171.1,178.0,186.0,174.9,169.8,174.3,175.9,218.0,157.5,175.1,169.2,183.5,178.1,173.3,169.0,152.8,174.8,168.9
2017 May,159.8,193.7,170.6,161.6,182.6,161.9,164.9,180.1,166.4,161.5,180.2,178.0,199.5,183.6,178.2,180.6,184.8,218.0,162.5,180.8,176.0,185.5,186.6,179.4,179.0,153.7,174.6,173.9
2017 Jun,161.4,204.2,176.9,163.5,185.6,161.8,166.0,189.7,170.6,159.6,183.5,178.0,209.3,183.2,182.9,183.3,188.4,218.0,165.0,183.2,178.9,193.0,188.0,181.7,187.4,155.3,175.1,176.6
