STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,animals,Live animals,month,Month,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AL,Albania,2015,,177.44,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AL,Albania,2016,,183.62,,p,provisional,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AL,Albania,2017,,180.09,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AL,Albania,2018,,184.13,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AL,Albania,2019,,183.85,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AL,Albania,2020,,158.40,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AL,Albania,2021,,159.24,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AL,Albania,2022,,137.30,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AL,Albania,2023,,114.83,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AL,Albania,2024,,104.04,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AT,Austria,2015,,2845.45,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AT,Austria,2016,,2792.80,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AT,Austria,2017,,2820.08,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AT,Austria,2018,,2776.57,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AT,Austria,2019,,2773.23,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AT,Austria,2020,,2806.46,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AT,Austria,2021,,2785.59,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AT,Austria,2022,,2650.15,,,,,
dataflow,ESTAT:APRO_MT_LSPIG$DEFAULTVIEW(1.0),Pig population - annual data,A,Annual,A3100,"Live swine, domestic species",M12,December,THS_HD,Thousand heads (animals),AT,Austria,2023,,2516.46,,,,,
